c0,c1,c2,c3,c4,c5,c6,c7,label,timestamp
-0.014925734987942574,-0.013017141880648361,-0.020093480657754022,-0.020283023450735026,-0.018304312921084514,-0.01929471871789917,-0.01938615970446583,-0.020087311576284357,1,1561027385840
-0.014935368589802812,-0.013026641372041866,-0.020103516591014454,-0.02029357347411793,-0.018314728834000687,-0.01930466524418178,-0.01939630739644854,-0.020097034585122416,1,1561027385841
-0.014941828243950395,-0.013032788101767076,-0.020110333873073323,-0.020300077831754425,-0.018321210839892726,-0.01931181780240748,-0.019401694166862268,-0.020103807163692373,1,1561027385846
-0.014940464787538622,-0.013031312886633025,-0.02010859043700581,-0.02029815558173127,-0.01831924388638066,-0.01930971673842868,-0.019398743736594167,-0.020102309596813868,1,1561027385853
-0.01493489920316925,-0.01302547908133019,-0.020101750803202485,-0.02029120418920567,-0.018312627770021888,-0.019302899456369812,-0.019392753469080145,-0.020095849942666284,1,1561027385853
-0.014937514357270521,-0.013027848366242453,-0.020104276550325935,-0.02029395345377367,-0.018315220572378704,-0.019305492258726627,-0.019395815658070522,-0.020098286282811913,1,1561027385859
-0.014942543499772965,-0.013032989267467173,-0.02011002094865095,-0.02030010018349888,-0.018320987322448173,-0.019311035491351543,-0.019401560056395536,-0.020103650701481186,1,1561027385859
-0.014942074113139404,-0.013032318715133514,-0.02011006565213986,-0.020300077831754425,-0.01832080850849253,-0.019311057843096,-0.019401224780228706,-0.020103181314847625,1,1561027385866
-0.01493957071776041,-0.01302914476742086,-0.020107226980594035,-0.020296255683452568,-0.018317589857290966,-0.019307548619216516,-0.01939849786740516,-0.020100141477601703,1,1561027385866
-0.014936888508425773,-0.01302623904064167,-0.02010353894275891,-0.0202923888316618,-0.018313700653755743,-0.019303502953470105,-0.01939521216097023,-0.02009658755023331,1,1561027385872
-0.014940621249749809,-0.013030485872088179,-0.020107003463149482,-0.020296255683452568,-0.01831705341542404,-0.019307079232582954,-0.019398319053449516,-0.020099403870034678,1,1561027385872
-0.014947840863208873,-0.013038040761714073,-0.020114603056264287,-0.020304570532389942,-0.018324608305049932,-0.0193148576396534,-0.019405672777375312,-0.020106668186982653,1,1561027385878
-0.014950456017310144,-0.013040454750115246,-0.02011777700397694,-0.020307275093469034,-0.01832767049404031,-0.019317919828643778,-0.01940951727742163,-0.02011002094865095,1,1561027385878
-0.014945873909696806,-0.01303567147680181,-0.020112747861474496,-0.020302380061433322,-0.018322395482348857,-0.01931286833439688,-0.01940453283840809,-0.020105528248015432,1,1561027385894
-0.014938542537515465,-0.013028250697642648,-0.020104410660792667,-0.020294445192151688,-0.018313723005500198,-0.019304598188948415,-0.019395614492370424,-0.02009705693686687,1,1561027385894
-0.014936642639236764,-0.013026082578430484,-0.020102242541580502,-0.020292031203750515,-0.018311510182799123,-0.019302407717991795,-0.01939302169001361,-0.020094464134510055,1,1561027385900
-0.01494028597358298,-0.013029502395332146,-0.02010639996604919,-0.020296501552641576,-0.01831571231075672,-0.01930652043897157,-0.019396888541804377,-0.02009819687583409,1,1561027385907
-0.014940643601494264,-0.013029323581376503,-0.020106891704427206,-0.020297261511953057,-0.018316449918323745,-0.01930723569479414,-0.01939834140519397,-0.020098934483401117,1,1561027385907
-0.01492946772926661,-0.013017588915537467,-0.02009486646591025,-0.02028514686645828,-0.01830429056934006,-0.019295299863255008,-0.01938649498063266,-0.02008778096291792,1,1561027385913
-0.014920012941362016,-0.01300791061018832,-0.0200843387942718,-0.02027444038086419,-0.018293539380257056,-0.019284883950338835,-0.019375766143294112,-0.020077655622679665,1,1561027385913
-0.014922829261163385,-0.013010279895100582,-0.020086663375695153,-0.02027701083147655,-0.018296221589591693,-0.019287119124784365,-0.01937882833228449,-0.020079175541302625,1,1561027385920
-0.014928975990888594,-0.01301595723819223,-0.02009292186414264,-0.02028371635481314,-0.01830286005769492,-0.019293556427187494,-0.01938620440795474,-0.02008458466346081,1,1561027385920
-0.01493123351707858,-0.01301810300565994,-0.020095313500799357,-0.0202864879711256,-0.018305363453073913,-0.019296462153966683,-0.019387031422499586,-0.020087669204195642,1,1561027385926
-0.01493085353742284,-0.013017834784726475,-0.02009482176242134,-0.020285549197858476,-0.018304625845506888,-0.019295590435932927,-0.019384952710265243,-0.020087646852451187,1,1561027385926
-0.014929490081011066,-0.013016605438781434,-0.020092810105420363,-0.0202833363751574,-0.018302211857105715,-0.01929328820625403,-0.019382426963141793,-0.02008509875358328,1,1561027385933
-0.014936530880514488,-0.0130236238865404,-0.02009982855317933,-0.02029095832001666,-0.018309543229287056,-0.019300440764479728,-0.01938991479753432,-0.020091893683897695,1,1561027385933
-0.014949651354509753,-0.013036118511690916,-0.02011382074520835,-0.02030452582890103,-0.018323513069571622,-0.019314455308253205,-0.019404130507007896,-0.020105662358482164,1,1561027385938
-0.014958994383692073,-0.013045327430406503,-0.02012363316102423,-0.02031391356157226,-0.018333258430154136,-0.019324267724069085,-0.01941336177746794,-0.0201154971260425,1,1561027385938
-0.01495948612207009,-0.013046176796695804,-0.02012367786451314,-0.020313891209827805,-0.018333325485387502,-0.01932429007581354,-0.019414211143757243,-0.020116458251054077,1,1561027385954
-0.014959352011603358,-0.013045975630995707,-0.020122850849968295,-0.020312930084816227,-0.018332073787698005,-0.019323396006035328,-0.019413875867590413,-0.020115854753953784,1,1561027385954
-0.014964984651206095,-0.013051541215365078,-0.02012821526863757,-0.02031900975930807,-0.018337594668578466,-0.019328894535171334,-0.01941917323102632,-0.020120749785989496,1,1561027385966
-0.014977523979845522,-0.013064080544004505,-0.020141089873443825,-0.020332174936792246,-0.018350558680362544,-0.019342171471377786,-0.019431734911410203,-0.020133423225095655,1,1561027385974
-0.014992186724208203,-0.013078564474411544,-0.02015651257711799,-0.020347262364299578,-0.018365824921825518,-0.01935730360237403,-0.01944671058019526,-0.02014799656248052,1,1561027385974
-0.01499962985511182,-0.013086097012292982,-0.020164380391166258,-0.020354549032992008,-0.018373223349240225,-0.019364836140255467,-0.019455092484366,-0.02015575261780651,1,1561027385978
-0.015003340244691401,-0.013089986215828206,-0.020167017897011984,-0.020357275945815555,-0.018376017317297138,-0.01936767481180129,-0.019458065266378555,-0.020158680696330155,1,1561027385979
-0.015014270247730046,-0.013100670349677842,-0.0201776126238838,-0.02036811654187638,-0.018386522637191132,-0.019378381297395383,-0.01946861528976146,-0.02016918601622415,1,1561027385985
-0.015029894117104306,-0.013116271867307646,-0.020193683528147165,-0.020384433315328753,-0.01840252648622113,-0.019394698070847757,-0.019484261510880174,-0.020185055754787417,1,1561027385985
-0.015043081646332937,-0.013129392341302913,-0.020207586313198366,-0.02039842550735778,-0.01841616105033887,-0.01940848909717668,-0.019497247874408707,-0.02019871267064961,1,1561027385991
-0.015050569480725464,-0.01313683547220653,-0.020215007092357528,-0.02040580158302803,-0.018423268905075656,-0.019415529896680106,-0.01950504863322361,-0.020206222856786592,1,1561027385992
-0.015056179768583746,-0.013142803387976097,-0.020219700958693142,-0.020409869600518896,-0.018427940419666815,-0.019419955542082257,-0.01951023423793724,-0.020211117888822305,1,1561027385998
-0.015069233187345646,-0.013155879158482452,-0.020232486156521578,-0.020423302998936535,-0.018440971486684263,-0.019433008960844156,-0.019521790089820634,-0.020223768976184008,1,1561027385998
-0.01508613110615386,-0.013172598263335021,-0.020249920517196717,-0.020441072635778504,-0.01845865171654841,-0.019450599783730482,-0.019538978581306765,-0.020241315095581424,1,1561027386004
-0.015097530495826066,-0.013184422336151878,-0.02026205751443595,-0.020453164929528825,-0.018470833417276553,-0.0194628932431809,-0.01955214375879094,-0.020253563851542932,1,1561027386004
-0.01510045857434971,-0.013187663339097898,-0.020265320869126423,-0.02045600360107465,-0.018473783847544653,-0.019465977783915733,-0.019556368238492994,-0.020257207185889147,1,1561027386018
-0.015107924056997783,-0.013195285283957157,-0.02027204874420747,-0.020462597365688964,-0.018480288205181147,-0.019472638603763415,-0.01956200087809573,-0.020263733895270097,1,1561027386018
-0.015122832670549473,-0.013210171545764392,-0.020286689136825697,-0.020477550682729564,-0.018495196818732837,-0.01948770367952629,-0.019576641270713957,-0.020278016659977038,1,1561027386024
-0.015139931755057782,-0.013227203575039335,-0.020304257607967568,-0.02049543207829381,-0.018512765289874708,-0.019505629778579447,-0.019593986224411275,-0.020295562779374453,1,1561027386030
-0.015156963784332726,-0.013244347363036556,-0.02032191548608726,-0.02051300054943568,-0.0185304231679944,-0.01952337706367696,-0.019611688806019878,-0.02031339947144979,1,1561027386031
-0.015163199921035757,-0.013250695258461865,-0.020328218678023657,-0.020518610837293963,-0.01853648049074179,-0.019529166165490885,-0.019618595495056568,-0.020320127346530836,1,1561027386037
